case,date,cve,in_kev,kev_date_added,kev_due_date,known_ransomware_use,vulnerability_name,vendor_project,product
2026-04-29_ShaiHulud-Bitwarden,2026-04-29,CVE-2026-32201,yes,2026-04-14,2026-04-28,Unknown,Microsoft SharePoint Server Improper Input Validation Vulnerability,Microsoft,SharePoint Server
2026-04-30_FIRESTARTER-LINE-VIPER-UAT4356,2026-04-30,CVE-2025-20333,yes,2025-09-25,2025-09-26,Unknown,Cisco Secure Firewall Adaptive Security Appliance (ASA) and Secure Firewall Threat Defense (FTD) Buffer Overflow Vulnerability,Cisco,Secure Firewall Adaptive Security Appliance and Secure Firewall Threat Defense
2026-04-30_FIRESTARTER-LINE-VIPER-UAT4356,2026-04-30,CVE-2025-20362,yes,2025-09-25,2025-09-26,Unknown,Cisco Secure Firewall Adaptive Security (ASA) Appliance and Secure Firewall Threat Defense (FTD) Missing Authorization Vulnerability,Cisco,Secure Firewall Adaptive Security Appliance and Secure Firewall Threat Defense
2026-04-30_FIRESTARTER-LINE-VIPER-UAT4356,2026-04-30,CVE-2026-20122,yes,2026-04-20,2026-04-23,Unknown,Cisco Catalyst SD-WAN Manager Incorrect Use of Privileged APIs Vulnerability,Cisco,Catalyst SD-WAN Manger
2026-04-30_FIRESTARTER-LINE-VIPER-UAT4356,2026-04-30,CVE-2026-20128,yes,2026-04-20,2026-04-23,Unknown,Cisco Catalyst SD-WAN Manager Storing Passwords in a Recoverable Format Vulnerability,Cisco,Catalyst SD-WAN Manager
2026-04-30_FIRESTARTER-LINE-VIPER-UAT4356,2026-04-30,CVE-2026-20133,yes,2026-04-20,2026-04-23,Unknown,Cisco Catalyst SD-WAN Manager Exposure of Sensitive Information to an Unauthorized Actor Vulnerability,Cisco,Catalyst SD-WAN Manager
2026-04-30_FIRESTARTER-LINE-VIPER-UAT4356,2026-04-30,CVE-2026-21510,yes,2026-02-10,2026-03-03,Unknown,Microsoft Windows Shell Protection Mechanism Failure Vulnerability,Microsoft,Windows
2026-04-30_FIRESTARTER-LINE-VIPER-UAT4356,2026-04-30,CVE-2026-32202,yes,2026-04-28,2026-05-12,Unknown,Microsoft Windows Protection Mechanism Failure Vulnerability,Microsoft,Windows
2026-05-01_VECT-2.0-RaaS,2026-05-01,CVE-2026-33825,yes,2026-04-22,2026-05-06,Unknown,Microsoft Defender Insufficient Granularity of Access Control Vulnerability,Microsoft,Defender
2026-05-01_VECT-2.0-RaaS,2026-05-01,CVE-2026-41940,yes,2026-04-30,2026-05-03,Known,WebPros cPanel & WHM and WP2 (WordPress Squared) Missing Authentication for Critical Function Vulnerability,WebPros,cPanel & WHM and WP2 (WordPress Squared)
2026-05-02_Nexcorium-TBK-DVR-CVE-2024-3721,2026-05-02,CVE-2017-17215,no,,,,,,
2026-05-02_Nexcorium-TBK-DVR-CVE-2024-3721,2026-05-02,CVE-2024-3721,no,,,,,,
2026-05-02_Nexcorium-TBK-DVR-CVE-2024-3721,2026-05-02,CVE-2024-57726,yes,2026-04-24,2026-05-08,Known,SimpleHelp Missing Authorization Vulnerability,SimpleHelp ,SimpleHelp
2026-05-02_Nexcorium-TBK-DVR-CVE-2024-3721,2026-05-02,CVE-2024-57728,yes,2026-04-24,2026-05-08,Known,SimpleHelp Path Traversal Vulnerability,SimpleHelp ,SimpleHelp
